,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Outlet_Sales
71,FDC37,15.5,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2928.9269621370913
72,FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1710.3625911723002
73,DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,4113.974364540768
74,NCG06,16.35,Low Fat,0.029505077,Household,256.2646,OUT045,2002,Small,Tier 2,Supermarket Type1,3894.5839858668232
75,DRC36,13.0,Regular,0.045076104,Soft Drinks,173.7054,OUT045,2002,Small,Tier 2,Supermarket Type1,2792.8747639188077
76,FDV21,11.5,Low Fat,0.299544153,Snack Foods,124.8704,OUT019,1985,Small,Tier 1,Grocery Store,367.4985641908689
77,FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,Tier 1,Supermarket Type1,2331.847732633883
78,DRP47,15.75,Low Fat,0.246178257,Hard Drinks,252.4382,OUT019,1985,Small,Tier 1,Grocery Store,597.6505426794799
79,FDA14,16.1,Low Fat,0.065128984,Dairy,145.176,OUT013,1987,High,Tier 3,Supermarket Type1,2333.025599660343
80,DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,2636.184978581154
81,FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,1432.0478372029916
82,NCH29,5.51,Low Fat,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,1527.8810921739741
83,FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,3121.283124227487
84,FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,Small,Tier 2,Supermarket Type1,2955.9872439495343
85,FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,1950.2384382651107
86,FDT59,13.65,Low Fat,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,3844.1016585257003
87,FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,3661.676965481656
88,FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,Small,Tier 2,Supermarket Type1,709.1319525127427
89,FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,1998,Small,Tier 3,Grocery Store,604.6446950697426
90,FDN39,19.35,Regular,0.0,Meat,165.7816,OUT045,2002,Small,Tier 2,Supermarket Type1,2586.7136966689036
91,FDX02,16.0,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6039.308739019563
92,FDQ16,19.7,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2774.8351047011397
93,FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1401.0964433791876
94,NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,1987.255857603182
95,FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,731.151714671223
96,FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,2334.8176233883496
97,FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2018.0954859667709
98,FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,Small,Tier 2,Supermarket Type1,2928.771239775302
99,NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,1314.7890884536605
100,FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2129.390212382074
101,FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,Small,Tier 2,Supermarket Type1,1687.6360115909322
102,FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,2007,Small,Tier 2,Supermarket Type1,3029.9896870605735
103,FDG12,6.635,Regular,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,1975.6656480537883
104,DRB01,7.39,Low Fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,463.37323012903664
105,NCC43,7.39,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,6399.449917858372
106,FDX13,7.725,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,605.3966056762783
107,FDM22,14.0,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,873.1920074354045
108,FDJ03,12.35,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,1250.9882385628316
109,FDU14,17.75,Low Fat,0.0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,3520.4953239402817
110,FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,Small,Tier 3,Grocery Store,381.09569607079055
111,FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,3040.5594324622007
112,FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,Small,Tier 3,Grocery Store,186.65596152610817
113,FDE28,9.5,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,6267.6613912104785
114,FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1601.3921720114074
115,DRL23,18.35,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2823.231905374504
116,FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,862.4643543167729
117,FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,1525.6016373379616
118,FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1643.199112281918
119,FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,Small,Tier 2,Supermarket Type1,1736.0161132947046
120,FDS60,20.85,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,4516.820003610153
121,NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,Small,Tier 2,Supermarket Type1,532.6722281665104
122,FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,1432.1413826059716
123,FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1452.0496099802804
124,FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,3201.3296971268196
125,FDZ36,6.035,Regular,0.0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,5092.253112072926
126,FDK27,11.0,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,Small,Tier 2,Supermarket Type1,1900.9809566616357
127,FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,525.5287848400255
128,FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1636.4541586871308
129,FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,1858.7022772340492
130,FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,2541.0929223856783
131,FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,1937.869551215035
132,NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,1833.7501634817627
133,FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,Small,Tier 3,Grocery Store,223.70612626151393
134,DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1349.122129156655
135,FDT28,13.3,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,358.51276942027346
136,FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,547.0992489230077
137,FDR60,14.3,Low Fat,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1278.1730178377634
138,FDC50,15.85,Low Fat,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,234.91783742049086
139,FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,2414.1918330537137
140,DRF48,5.73,Low Fat,0.0,Soft Drinks,188.3898,OUT010,1998,Small,Tier 3,Grocery Store,459.707955987264
141,FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,567.0119777969334
142,DRN36,15.2,Low Fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.5316056639358
143,NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,2178.910308294547
144,FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1542.0175826160976
145,NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,Small,Tier 2,Supermarket Type1,1955.7740865966414
146,NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,2539.3863688445394
147,FDJ08,11.1,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,5127.634067123614
148,NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,Small,Tier 2,Supermarket Type1,1734.9747887228937
149,NCD19,8.93,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,1363.7851446237255
150,FDL46,20.35,Low Fat,0.0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1924.207310721906
151,FDM20,10.0,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,Small,Tier 2,Supermarket Type1,3874.7875525629443
152,NCI06,11.3,Low Fat,0.07986963,Household,180.466,OUT010,1998,Small,Tier 3,Grocery Store,424.85998487717495
153,DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,4202.39475377229
154,NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2189.341531492071
155,FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,2059.619361364022
156,FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,691.1653383354208
157,FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,1070.7606137521966
158,DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,Small,Tier 2,Supermarket Type1,1253.7769929105252
159,DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,939.1185898695369
160,FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,Small,Tier 2,Supermarket Type1,2629.967511795106
161,NCN14,19.1,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,3094.921371684613
162,FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,3877.045419275997
163,FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,2947.943015088386
164,FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,1260.0379768251423
165,FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,Small,Tier 3,Grocery Store,263.83000435391415
166,FDS24,20.85,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2214.887062376165
167,FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.15467412891
168,FDS48,15.15,Low Fat,0.0,Baking Goods,150.4708,OUT045,2002,Small,Tier 2,Supermarket Type1,2398.1846839349587
169,FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,Small,Tier 3,Grocery Store,461.38673021948375
170,FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,Small,Tier 2,Supermarket Type1,2977.7167458688577
171,NCH54,13.5,Low Fat,0.073080167,Household,161.492,OUT017,2007,Small,Tier 2,Supermarket Type1,2684.3326572880305
172,NCP14,8.275,Low Fat,0.184602443,Household,106.5306,OUT010,1998,Small,Tier 3,Grocery Store,243.1208108590837
173,FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Small,Tier 3,Grocery Store,92.40360686648276
174,FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,Small,Tier 2,Supermarket Type1,2497.7519237041097
175,FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,3328.0997389109775
176,FDS12,9.1,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,3311.0525979870617
177,FDR39,20.35,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4581.194641079384
178,FDP12,9.8,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,960.1343954478416
179,DRF60,10.8,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,6430.32339845579
180,FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1832.6924516210966
181,FDF50,4.905,Low Fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2877.2732593246506
182,FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,4223.441022004259
183,NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,Small,Tier 2,Supermarket Type1,888.9827266961836
184,NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,Small,Tier 3,Grocery Store,253.75125722868657
185,NCN18,8.895,Low Fat,0.0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1851.8416499783004
186,FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,3539.4568319741697
187,FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,3985.586950401942
188,DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3805.5321744341963
189,NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,2857.7157204387972
190,FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,1646.5203132295956
191,FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,3436.6693277774025
192,FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,2346.687580205625
193,FDI50,8.42,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,579.0629312581593
194,FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,849.7303290495812
195,NCC31,8.02,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3994.5455487969807
196,FDQ07,15.1,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,549.3857330906367
197,FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,Small,Tier 2,Supermarket Type1,3270.5460316912136
198,FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,2752.8582607625376
199,FDZ40,8.935,Low Fat,0.070354806,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,123.80869184123392
200,FDS46,17.6,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Medium,Tier 3,Supermarket Type3,3170.753701861166
201,DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,Small,Tier 2,Supermarket Type1,2222.7048253310936
202,FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,Small,Tier 2,Supermarket Type1,3261.9680664162192
